scientificName,location,OccurrenceStatus,basisOfRecord
Oscillatoriaceae,Salinen und Salzgräben im südlichen Gebiet,,Human Observation
Cylindrospermum (stagnale?),Moore im Sauer und Münsterland,absent,Human Observation
Oscillatoria tenuis,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation
Nodularia spumigena,Moore im Sauer und Münsterland,absent,Human Observation
Oscillatoria Agardhii,"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation
Palmodictyon varium,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation
Homoeothrix spec.,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation
Cylindrospermum maius,Moore im Sauer und Münsterland,absent,Human Observation
Anabaena (echinospora?),Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation
Oscillatoria limosa,Plankton des Dortmund-Ems Kanals,absent,Human Observation
Oscillatoriaceae,"Teiche und Moor stellen ,“Kipshagen ”",,Human Observation
Borzia Spirulina Nordstedtii,Moore im Sauer und Münsterland,absent,Human Observation
Anabaena (echinospora?),desgl. im nördlichen Gebiet,absent,Human Observation
Oscillatoria splendida,Eder,absent,Human Observation
Oscillatoria spec.,Moore im Sauer und Münsterland,absent,Human Observation
Anabaena flos-aquae,Plankton der Werse bei Münster,absent,Human Observation
Borzia Spirulina Nordstedtii,Ruhr,absent,Human Observation
Gloeotrichia Pisum,Lippe,absent,Human Observation
Tetraspora cylindrica,Gebirgsbäche im Sauerland,present,Human Observation
Oscillatoria spec.,desgl. im nördlichen Gebiet,absent,Human Observation
Scytonemataceae,Plankton der Talsperren,,Human Observation
Calothrix (fusca?),"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation
Oscillatoria amphibia,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation
(Hypheothrix spec.),Plankton der Werse bei Münster,absent,Human Observation
Anabaena flos-aquae,Moore im Sauer und Münsterland,absent,Human Observation
Gloeocystis ampla,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation
Gloeocystis oesiculosa,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",absent,Human Observation
Gloeococcus Schroeteri,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation
Ⅳ. Chlorophyceae.,desgl. im nördlichen Gebiet,,Human Observation
Gloeocystis oesiculosa,Eder,absent,Human Observation
Lyngbya contorta,Moore im Sauer und Münsterland,absent,Human Observation
Anabaena spec.,Plankton des Dortmund-Ems Kanals,absent,Human Observation
Oscillatoria Agardhii,Ruhr,present,Human Observation
Cylindrospermum maius,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation
Homoeothrix spec.,Plankton der Werse bei Münster,absent,Human Observation
Palmella-Zustände,Gebirgsbäche im Sauerland,absent,Human Observation
Gloeotrichia intermedia,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation
Anabaena (echinospora?),Gebirgsbäche im Sauerland,absent,Human Observation
Nostoc (Kihlmani?),Ruhr,absent,Human Observation
Phormidium spec.,"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation
Nostoc (Kihlmani?),"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation
Phormidium spec.,Moore im Sauer und Münsterland,absent,Human Observation
Gloeotrichia intermedia,Plankton des Dortmund-Ems Kanals,absent,Human Observation
Nostoc (Kihlmani?),Lippe,absent,Human Observation
Anabaena (echinospora?),Plankton der Werse bei Münster,absent,Human Observation
Oscillatoria Borneti,Plankton der Talsperren,absent,Human Observation
Gloeotrichia intermedia,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation
Desmonema Wrangelii,Moore im Sauer und Münsterland,absent,Human Observation
Palmella-Zustände,Eder,absent,Human Observation
Lyngbya contorta,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation
